,Name,Price (in Euros),Details
52,"Wijsman Butter (gesalzen), 200g","4,99","Inhalt 200 Gramm (2,50 € * / 100 Gramm)"
53,"Langkorn Jasminduftreis, Aroy-D, 4,5kg","15,99","Inhalt 4.5 Kilogramm (3,55 € * / 1 Kilogramm)"
54,"Kokosmilch für Dessert, Aroy-D, 400ml","2,59","Inhalt 0.4 Liter (6,48 € * / 1 Liter)"
55,"Rambutan in Syrup, Aroy-D, 565g","5,99","Inhalt 565 Gramm (10,60 € * / 1000 Gramm)"
56,"Gingerbon Peppermint - Ingwerbonbon mit Pfefferminze, 125g","1,59","Inhalt 125 Gramm (1,27 € * / 100 Gramm)"
57,"Rambutan in Syrup, Aroy-D, 565g","5,99","Inhalt 565 Gramm (10,60 € * / 1000 Gramm)"
58,"Junge Jackfrucht in Lake, Natures Charm, 565g","2,59","Inhalt 565 Gramm (0,46 € * / 100 Gramm)"
59,"Gingerbon Honey Lemon - Ingwerbonbon mit Honig-Zitrone, 125g","1,99","Inhalt 125 Gramm (1,59 € * / 100 Gramm)"
60,"Bananenblüten in Lake, Natures Charm, 510g","2,79","Inhalt 0.51 Kilogramm (5,47 € * / 1 Kilogramm)"
61,"Junges Kokosfleisch in Syrup, Cock Brand, 425g","3,79","Inhalt 0.425 Kilogramm (8,92 € * / 1 Kilogramm)"
62,"Nasi Goreng, Bamboe, 1kg","16,99",Inhalt 1 Kilogramm
63,"Mie Noodles, Diamond, 250g","1,19","Inhalt 250 Gramm (0,48 € * / 100 Gramm)"
64,"Indomie Mi Goreng BBQ Flavour, 82g","0,69","Inhalt 82 Gramm (0,84 € * / 100 Gramm)"
65,"Edamame Sojabohnen, Ita-San, 400g","2,39","Inhalt 400 Gramm (0,60 € * / 100 Gramm)"
66,"Longans (ohne Stein), Diamond, 567g","2,99","Inhalt 567 Gramm (5,27 € * / 1000 Gramm)"
67,"Gule, Bamboe, 1kg","16,99",Inhalt 1 Kilogramm
68,"Knoblauchkrupuk, Cap Wayang, 250g","4,29","Inhalt 250 Gramm (1,72 € * / 100 Gramm)"
69,"Bumbu Sayur Asam, Finna, 50g","0,79","Inhalt 50 Gramm (1,58 € * / 100 Gramm)"
70,"Krupuk Gendar - Reiskrupuk -  Baland Bamboo, 200g","4,99","Inhalt 200 Gramm (2,50 € * / 100 Gramm)"
71,"Fischkrupuk ""Palembang Mini"" Bunt, Cap Wayang, 250g","5,99","Inhalt 250 Gramm (2,40 € * / 100 Gramm)"
72,"Shrimpkrupuk Sidarjo Sticks, Baland Bamboo, 500g","6,99","Inhalt 0.5 Kilogramm (13,98 € * / 1 Kilogramm)"
73,"Tapiokamehl, Cap Jempol, 500g","2,29","Inhalt 0.5 Kilogramm (4,58 € * / 1 Kilogramm)"
74,"Shrimpkrupuk Scharf, Baland Bamboo, 500g","6,49","Inhalt 500 Gramm (1,30 € * / 100 Gramm)"
75,"Kluwaknuss, Cap Wayang, 100g","4,99",Inhalt 100 Gramm
76,"Palmenzucker gemahlen, Cap Wayang, 250g","3,99","Inhalt 250 Gramm (1,60 € * / 100 Gramm)"
77,"Astor Schokoladen Waffel Röllchen, 150g","2,29","Inhalt 150 Gramm (1,53 € * / 100 Gramm)"
78,"Gula Aren, Cap Wayang, 250g","3,49","Inhalt 250 Gramm (1,40 € * / 100 Gramm)"
79,"Gula Kelapa, Cap Wayang, 250g","3,69","Inhalt 250 Gramm (1,48 € * / 100 Gramm)"
80,"Sukro Oven Rasa Jagung Bakar, Dua Kelinci, 100g","1,29",Inhalt 100 Gramm
81,"Cakra Kembar, Bogasari, 1kg","3,49",Inhalt 1 Kilogramm
82,"Malkist Cokelat crunchy crackers, Roma, 105g","1,49","Inhalt 105 Gramm (1,13 € * / 100 Gramm)"
83,"Sojaflocken, Amutha 250g","1,89","Inhalt 250 Gramm (0,76 € * / 100 Gramm)"
84,"Deka Mini Durian Waffel Röllchen, Dua Kelinci, 200g","2,99","Inhalt 200 Gramm (1,50 € * / 100 Gramm)"
85,"Nutrijell Rasa Cincau, 15g","0,99","Inhalt 15 Gramm (6,60 € * / 100 Gramm)"
86,"Lange Bohnen, 100g","2,79","Inhalt 100 Gramm (6,98 € * / 250 Gramm)"
87,"Kangkung - Thailändischer Wasserspinat, 200g","5,99","Inhalt 200 Gramm (2,50 € * / 100 Gramm)"
88,"Kemangi - Scharfer Vietnamesischer Basilikum, 100g","3,39","Inhalt 100 Gramm (33,90 € * / 1000 Gramm)"
89,"Fischkrupuk, Bawal Putih, Finna, 380g","3,79","Inhalt 380 Gramm (9,97 € * / 1000 Gramm)"
90,"VX, Koepoe, 45g","1,19","Inhalt 45 Gramm (2,64 € * / 100 Gramm)"
91,"Indomie Onion Chicken, 75g","0,59","Inhalt 72 Gramm (0,82 € * / 100 Gramm)"
92,"Bumbu Nasi Goreng Kunyit, 240g","4,29","Inhalt 220 Gramm (1,95 € * / 100 Gramm)"
93,"Rendang, Munik, 115g","6,39","Inhalt 115 Gramm (5,56 € * / 100 Gramm)"
94,"Indomie Mi Goreng Grüne Chili, 85g","0,59","Inhalt 85 Gramm (0,69 € * / 100 Gramm)"
95,"Selbstaufgehendes Mehl,  Green Dragon, 1,5kg","4,49","Inhalt 1.5 Kilogramm (2,99 € * / 1 Kilogramm)"
96,"Palmenzucker, flüssig, May Sweet, 500ml","5,49","Inhalt 0.5 Liter (10,98 € * / 1 Liter)"
97,"Roasted Peanuts, Dua Kelinci, 375g","5,49","Inhalt 0.375 Kilogramm (14,64 € * / 1 Kilogramm)"
98,"Roasted Peanuts, Dua Kelinci, 180g","2,99","Inhalt 180 Gramm (1,61 € * / 97 Gramm)"
99,"Grüne Jackfrucht in Wasser, Chaokoh, 560g","2,49","Inhalt 0.56 Kilogramm (4,45 € * / 1 Kilogramm)"
100,"Kokos Biscuit, Roma, 300g","1,99","Inhalt 300 Gramm (0,66 € * / 100 Gramm)"
101,"Tape Manis, Nesia, 500g","6,49","Inhalt 500 Gramm (12,98 € * / 1000 Gramm)"
102,"Melinjonüsse / Belinjonüsse, 200g (Versand nur in Deutschland)","3,79","Inhalt 200 Gramm (1,90 € * / 100 Gramm)"
103,"Mi Goreng Pangsit, ABC, 80g","0,59","Inhalt 80 Gramm (0,74 € * / 100 Gramm)"
